Layer 3			
phi	   kx	          ky	                  kz
0.25466	512.52072	153.75622	280.71916
0.23555	440.81986	132.24596	241.44698
0.24224	421.18013	126.35404	230.68986
0.29782	579.25065	173.77520	317.26865
0.28577	462.10050	138.63015	253.10287
0.24993	362.49218	108.74765	198.54514
0.18969	328.32145	98.49644	179.82906
0.26147	378.98235	113.69471	207.57718
0.31719	413.59079	124.07724	226.53301
0.20176	450.65298	135.19589	246.83280
0.17799	486.93542	146.08063	266.70551
0.25015	480.63215	144.18965	263.25307
0.25229	416.28843	124.88653	228.01056
0.25818	465.73377	139.72013	255.09289
0.32514	464.45432	139.33630	254.39211
0.30953	515.65387	154.69616	282.43526
0.26257	511.79962	153.53989	280.32420
0.28455	562.84020	168.85206	308.28027
0.29116	520.19361	156.05808	284.92177
0.24110	525.34539	157.60362	287.74352
0.26101	515.91178	154.77353	282.57652
0.21691	387.04385	116.11316	211.99265
0.23750	383.91296	115.17389	210.27779
0.28868	589.49041	176.84712	322.87719
0.22737	433.61165	130.08350	237.49888
0.25373	412.40375	123.72113	225.88284
0.19899	347.90185	104.37056	190.55369
0.25579	367.99255	110.39777	201.55782
0.28213	380.18691	114.05607	208.23695
0.23962	441.39840	132.41952	241.76386
0.16340	477.86598	143.35979	261.73798
0.20500	365.28606	109.58582	200.07542
0.24451	368.39242	110.51773	201.77684
0.26134	382.05874	114.61762	209.26219
0.29647	441.20149	132.36045	241.65601
0.30547	453.13661	135.94098	248.19314
0.29274	619.94966	185.98490	339.56041
0.30089	609.08476	182.72543	333.60946
0.30615	556.88092	167.06428	305.01624
0.25551	571.80617	171.54185	313.19114
0.30044	599.76735	179.93021	328.50611
0.23728	456.52107	136.95632	250.04689
0.23561	385.77114	115.73134	211.29556
0.31922	617.34150	185.20245	338.13187
0.27021	505.32779	151.59834	276.77943
0.24490	429.80471	128.94141	235.41373
0.20024	313.28508	93.98552	171.59331
0.20992	383.06740	114.92022	209.81466
0.24779	371.34910	111.40473	203.39628
0.29413	415.51033	124.65310	227.58438
0.20632	428.69141	128.60742	234.80396
0.17909	303.61206	91.08362	166.29517
0.24225	406.53413	121.96024	222.66791
0.25758	424.64312	127.39294	232.58662
0.28354	399.66806	119.90042	218.90721
0.28990	395.06294	118.51888	216.38488
0.28396	538.61697	161.58509	295.01266
0.26751	506.25240	151.87572	277.28586
0.28989	547.36974	164.21092	299.80675
0.26435	458.99131	137.69739	251.39989
0.29318	583.16195	174.94859	319.41095
0.29061	494.35505	148.30652	270.76941
0.22456	418.68304	125.60491	229.32215
0.29744	552.69502	165.80851	302.72353
0.28184	604.85415	181.45625	331.29226
0.28428	545.60400	163.68120	298.83962
0.21836	371.81677	111.54503	203.65243
0.21534	367.21369	110.16411	201.13122
0.22940	341.68805	102.50642	187.15025
0.25717	336.29427	100.88828	184.19596
0.24031	441.41431	132.42429	241.77257
0.16214	312.27804	93.68341	171.04173
0.25676	415.79531	124.73859	227.74047
0.27294	421.10970	126.33291	230.65128
0.27417	374.14383	112.24315	204.92702
0.31182	458.34518	137.50355	251.04599
0.28148	409.51102	122.85331	224.29842
0.30063	552.20647	165.66194	302.45594
0.27608	522.80607	156.84182	286.35268
0.27504	524.65959	157.39788	287.36789
0.25573	540.24808	162.07442	295.90606
0.25865	406.09201	121.82760	222.42575
0.24271	450.81348	135.24404	246.92071
0.26567	456.84195	137.05259	250.22264
0.26285	605.40784	181.62235	331.59553
0.25447	601.30616	180.39185	329.34895
0.22535	481.60787	144.48236	263.78749
0.19969	348.56097	104.56829	190.91471
0.23897	426.40237	127.92071	233.55020
0.21693	318.53247	95.55974	174.46742
0.27419	443.24880	132.97464	242.77737
0.14320	304.71657	91.41497	166.90014
0.17152	271.66147	81.49844	148.79512
0.25826	339.32609	101.79783	185.85655
0.26922	398.99314	119.69794	218.53754
0.30693	458.78552	137.63566	251.28718
0.26614	378.93971	113.68191	207.55383
0.28102	488.40646	146.52194	267.51124
0.30329	532.41696	159.72509	291.61678
0.29358	490.32805	147.09842	268.56373
0.28686	564.25117	169.27535	309.05309
0.27009	456.00216	136.80065	249.76267
0.23172	390.15930	117.04779	213.69905
0.27105	489.37785	146.81336	268.04329
0.30832	666.59371	199.97811	365.10841
0.25946	687.84089	206.35227	376.74597
0.25616	578.08632	173.42590	316.63092
0.18598	347.01113	104.10334	190.06582
0.21337	350.93732	105.28120	192.21629
0.25125	377.27727	113.18318	206.64327
0.26598	442.21097	132.66329	242.20892
0.13654	231.86902	69.56071	126.99989
0.12584	219.12207	65.73662	120.01810
0.25742	352.85761	105.85728	193.26807
0.29846	416.60730	124.98219	228.18522
0.30079	400.06016	120.01805	219.12197
0.25260	315.57850	94.67355	172.84946
0.30168	534.83407	160.45022	292.94068
0.25818	443.39150	133.01745	242.85553
0.25323	465.47145	139.64144	254.94921
0.31186	551.22119	165.36636	301.91628
0.25833	500.09433	150.02830	273.91295
0.26469	421.37829	126.41349	230.79839
0.27793	465.51911	139.65573	254.97532
0.31224	586.26370	175.87911	321.10985
0.28246	647.30639	194.19192	354.54431
0.27658	596.50164	178.95049	326.71740
0.20952	434.90792	130.47238	238.20888
0.21785	425.75975	127.72793	233.19822
0.21080	356.08262	106.82479	195.03448
0.25089	388.74005	116.62202	212.92169
